TIME,GEO,UNIT,COICOP,Value,Flag and Footnotes
1997/03,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.6,
1997/03,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.7,
1997/03,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.7,
1997/03,Belgium,Annual rate of change,All-items HICP,1.3,
1997/03,Bulgaria,Annual rate of change,All-items HICP,:,
1997/03,Czechia,Annual rate of change,All-items HICP,6.6,
1997/03,Denmark,Annual rate of change,All-items HICP,1.8,
1997/03,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.3,
1997/03,Estonia,Annual rate of change,All-items HICP,7.3,
1997/03,Ireland,Annual rate of change,All-items HICP,1.3,
1997/03,Greece,Annual rate of change,All-items HICP,5.9,
1997/03,Spain,Annual rate of change,All-items HICP,2.2,
1997/03,France,Annual rate of change,All-items HICP,1.1,
1997/03,Croatia,Annual rate of change,All-items HICP,:,
1997/03,Italy,Annual rate of change,All-items HICP,2.2,
1997/03,Cyprus,Annual rate of change,All-items HICP,3.4,
1997/03,Latvia,Annual rate of change,All-items HICP,8.5,
1997/03,Lithuania,Annual rate of change,All-items HICP,10.7,
1997/03,Luxembourg,Annual rate of change,All-items HICP,1.3,
1997/03,Hungary,Annual rate of change,All-items HICP,19.1,d
1997/03,Malta,Annual rate of change,All-items HICP,4,
1997/03,Netherlands,Annual rate of change,All-items HICP,1.2,
1997/03,Austria,Annual rate of change,All-items HICP,1.2,
1997/03,Poland,Annual rate of change,All-items HICP,16.5,d
1997/03,Portugal,Annual rate of change,All-items HICP,2.3,
1997/03,Romania,Annual rate of change,All-items HICP,164.4,
1997/03,Slovenia,Annual rate of change,All-items HICP,7.2,
1997/03,Slovakia,Annual rate of change,All-items HICP,6.3,
1997/03,Finland,Annual rate of change,All-items HICP,0.7,
1997/03,Sweden,Annual rate of change,All-items HICP,1,
1997/03,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.7,
1997/03,Iceland,Annual rate of change,All-items HICP,1.7,
1997/03,Norway,Annual rate of change,All-items HICP,3.3,
1997/03,Switzerland,Annual rate of change,All-items HICP,:,
1997/03,United Kingdom,Annual rate of change,All-items HICP,1.7,
1997/03,North Macedonia,Annual rate of change,All-items HICP,:,
1997/03,Serbia,Annual rate of change,All-items HICP,:,
1997/03,Turkey,Annual rate of change,All-items HICP,78.8,d
1997/03,United States,Annual rate of change,All-items HICP,:,
1997/04,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.5,
1997/04,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/04,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/04,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.3,
1997/04,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.5,
1997/04,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.4,
1997/04,Belgium,Annual rate of change,All-items HICP,1.1,
1997/04,Bulgaria,Annual rate of change,All-items HICP,:,
1997/04,Czechia,Annual rate of change,All-items HICP,6.4,
1997/04,Denmark,Annual rate of change,All-items HICP,1.7,
1997/04,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.2,
1997/04,Estonia,Annual rate of change,All-items HICP,7,
1997/04,Ireland,Annual rate of change,All-items HICP,1.6,
1997/04,Greece,Annual rate of change,All-items HICP,5.7,
1997/04,Spain,Annual rate of change,All-items HICP,1.6,
1997/04,France,Annual rate of change,All-items HICP,1,
1997/04,Croatia,Annual rate of change,All-items HICP,:,
1997/04,Italy,Annual rate of change,All-items HICP,1.9,
1997/04,Cyprus,Annual rate of change,All-items HICP,4,
1997/04,Latvia,Annual rate of change,All-items HICP,8.6,
1997/04,Lithuania,Annual rate of change,All-items HICP,9.4,
1997/04,Luxembourg,Annual rate of change,All-items HICP,1.1,
1997/04,Hungary,Annual rate of change,All-items HICP,18.7,d
1997/04,Malta,Annual rate of change,All-items HICP,3.3,
1997/04,Netherlands,Annual rate of change,All-items HICP,1,
1997/04,Austria,Annual rate of change,All-items HICP,1.2,
1997/04,Poland,Annual rate of change,All-items HICP,15.3,d
1997/04,Portugal,Annual rate of change,All-items HICP,1.6,
1997/04,Romania,Annual rate of change,All-items HICP,176.7,
1997/04,Slovenia,Annual rate of change,All-items HICP,6.9,
1997/04,Slovakia,Annual rate of change,All-items HICP,6.4,
1997/04,Finland,Annual rate of change,All-items HICP,0.9,
1997/04,Sweden,Annual rate of change,All-items HICP,1.2,
1997/04,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.5,
1997/04,Iceland,Annual rate of change,All-items HICP,2.2,
1997/04,Norway,Annual rate of change,All-items HICP,2.7,
1997/04,Switzerland,Annual rate of change,All-items HICP,:,
1997/04,United Kingdom,Annual rate of change,All-items HICP,1.6,
1997/04,North Macedonia,Annual rate of change,All-items HICP,:,
1997/04,Serbia,Annual rate of change,All-items HICP,:,
1997/04,Turkey,Annual rate of change,All-items HICP,76.1,d
1997/04,United States,Annual rate of change,All-items HICP,:,
1997/05,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.5,
1997/05,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,:,
1997/05,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,:,
1997/05,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.4,
1997/05,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.5,
1997/05,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.5,
1997/05,Belgium,Annual rate of change,All-items HICP,1.4,
1997/05,Bulgaria,Annual rate of change,All-items HICP,:,
1997/05,Czechia,Annual rate of change,All-items HICP,6,
1997/05,Denmark,Annual rate of change,All-items HICP,2.1,
1997/05,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.5,
1997/05,Estonia,Annual rate of change,All-items HICP,8.5,
1997/05,Ireland,Annual rate of change,All-items HICP,1.5,
1997/05,Greece,Annual rate of change,All-items HICP,5.4,
1997/05,Spain,Annual rate of change,All-items HICP,1.3,
1997/05,France,Annual rate of change,All-items HICP,0.9,
1997/05,Croatia,Annual rate of change,All-items HICP,:,
1997/05,Italy,Annual rate of change,All-items HICP,1.9,
1997/05,Cyprus,Annual rate of change,All-items HICP,2.6,
1997/05,Latvia,Annual rate of change,All-items HICP,8.9,
1997/05,Lithuania,Annual rate of change,All-items HICP,9.7,
1997/05,Luxembourg,Annual rate of change,All-items HICP,1.1,
1997/05,Hungary,Annual rate of change,All-items HICP,17.8,d
