TIME,GEO,UNIT,COICOP,Value,Flag and Footnotes
2001/09,Turkey,Annual rate of change,All-items HICP,66.1,d
2001/09,United States,Annual rate of change,All-items HICP,:,
2001/10,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,2.1,
2001/10,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,3.2,
2001/10,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,2.9,
2001/10,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2.2,
2001/10,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.3,
2001/10,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.3,
2001/10,Belgium,Annual rate of change,All-items HICP,2,
2001/10,Bulgaria,Annual rate of change,All-items HICP,5.2,
2001/10,Czechia,Annual rate of change,All-items HICP,4.3,
2001/10,Denmark,Annual rate of change,All-items HICP,1.9,
2001/10,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.6,
2001/10,Estonia,Annual rate of change,All-items HICP,4.8,
2001/10,Ireland,Annual rate of change,All-items HICP,3.8,
2001/10,Greece,Annual rate of change,All-items HICP,3.2,
2001/10,Spain,Annual rate of change,All-items HICP,2.5,
2001/10,France,Annual rate of change,All-items HICP,1.8,
2001/10,Croatia,Annual rate of change,All-items HICP,3.1,
2001/10,Italy,Annual rate of change,All-items HICP,2.3,
2001/10,Cyprus,Annual rate of change,All-items HICP,2.7,
2001/10,Latvia,Annual rate of change,All-items HICP,3.3,
2001/10,Lithuania,Annual rate of change,All-items HICP,2.4,
2001/10,Luxembourg,Annual rate of change,All-items HICP,1.6,
2001/10,Hungary,Annual rate of change,All-items HICP,7.5,d
2001/10,Malta,Annual rate of change,All-items HICP,2.8,
2001/10,Netherlands,Annual rate of change,All-items HICP,5,
2001/10,Austria,Annual rate of change,All-items HICP,2.3,
2001/10,Poland,Annual rate of change,All-items HICP,3.6,
2001/10,Portugal,Annual rate of change,All-items HICP,4.2,
2001/10,Romania,Annual rate of change,All-items HICP,30.8,
2001/10,Slovenia,Annual rate of change,All-items HICP,8.1,
2001/10,Slovakia,Annual rate of change,All-items HICP,6.9,
2001/10,Finland,Annual rate of change,All-items HICP,2.4,
2001/10,Sweden,Annual rate of change,All-items HICP,3,
2001/10,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,2.1,
2001/10,Iceland,Annual rate of change,All-items HICP,8.4,
2001/10,Norway,Annual rate of change,All-items HICP,1.8,
2001/10,Switzerland,Annual rate of change,All-items HICP,:,
2001/10,United Kingdom,Annual rate of change,All-items HICP,1.2,
2001/10,North Macedonia,Annual rate of change,All-items HICP,:,
2001/10,Serbia,Annual rate of change,All-items HICP,:,
2001/10,Turkey,Annual rate of change,All-items HICP,71.3,d
2001/10,United States,Annual rate of change,All-items HICP,:,
2001/11,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.8,
2001/11,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,3,
2001/11,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,2.6,
2001/11,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2,
2001/11,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2,
2001/11,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2,
2001/11,Belgium,Annual rate of change,All-items HICP,1.8,
2001/11,Bulgaria,Annual rate of change,All-items HICP,4.6,
2001/11,Czechia,Annual rate of change,All-items HICP,3.9,
2001/11,Denmark,Annual rate of change,All-items HICP,1.8,
2001/11,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.4,
2001/11,Estonia,Annual rate of change,All-items HICP,4.2,
2001/11,Ireland,Annual rate of change,All-items HICP,3.6,
2001/11,Greece,Annual rate of change,All-items HICP,2.9,
2001/11,Spain,Annual rate of change,All-items HICP,2.5,
2001/11,France,Annual rate of change,All-items HICP,1.3,
2001/11,Croatia,Annual rate of change,All-items HICP,2.6,
2001/11,Italy,Annual rate of change,All-items HICP,2.3,
2001/11,Cyprus,Annual rate of change,All-items HICP,1.8,
2001/11,Latvia,Annual rate of change,All-items HICP,3.1,
2001/11,Lithuania,Annual rate of change,All-items HICP,2,
2001/11,Luxembourg,Annual rate of change,All-items HICP,1.4,
2001/11,Hungary,Annual rate of change,All-items HICP,7.1,d
2001/11,Malta,Annual rate of change,All-items HICP,3.3,
2001/11,Netherlands,Annual rate of change,All-items HICP,4.8,
2001/11,Austria,Annual rate of change,All-items HICP,1.9,
2001/11,Poland,Annual rate of change,All-items HICP,3.5,
2001/11,Portugal,Annual rate of change,All-items HICP,4.1,
2001/11,Romania,Annual rate of change,All-items HICP,30.7,
2001/11,Slovenia,Annual rate of change,All-items HICP,7.2,
2001/11,Slovakia,Annual rate of change,All-items HICP,6.8,
2001/11,Finland,Annual rate of change,All-items HICP,2.2,
2001/11,Sweden,Annual rate of change,All-items HICP,2.9,
2001/11,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.8,
2001/11,Iceland,Annual rate of change,All-items HICP,8.6,
2001/11,Norway,Annual rate of change,All-items HICP,1.3,
2001/11,Switzerland,Annual rate of change,All-items HICP,:,
2001/11,United Kingdom,Annual rate of change,All-items HICP,0.8,
2001/11,North Macedonia,Annual rate of change,All-items HICP,:,
2001/11,Serbia,Annual rate of change,All-items HICP,:,
2001/11,Turkey,Annual rate of change,All-items HICP,72.7,d
2001/11,United States,Annual rate of change,All-items HICP,:,
2001/12,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.9,
2001/12,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,3,
2001/12,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,2.7,
2001/12,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2.1,
2001/12,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.1,
2001/12,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.1,
2001/12,Belgium,Annual rate of change,All-items HICP,1.9,
2001/12,Bulgaria,Annual rate of change,All-items HICP,4.8,
2001/12,Czechia,Annual rate of change,All-items HICP,3.9,
2001/12,Denmark,Annual rate of change,All-items HICP,2,
2001/12,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.4,
2001/12,Estonia,Annual rate of change,All-items HICP,4.2,
2001/12,Ireland,Annual rate of change,All-items HICP,4.3,
2001/12,Greece,Annual rate of change,All-items HICP,3.5,
2001/12,Spain,Annual rate of change,All-items HICP,2.5,
2001/12,France,Annual rate of change,All-items HICP,1.5,
2001/12,Croatia,Annual rate of change,All-items HICP,2.4,
2001/12,Italy,Annual rate of change,All-items HICP,2.3,
2001/12,Cyprus,Annual rate of change,All-items HICP,2.1,
2001/12,Latvia,Annual rate of change,All-items HICP,3.2,
2001/12,Lithuania,Annual rate of change,All-items HICP,2,
2001/12,Luxembourg,Annual rate of change,All-items HICP,0.9,
2001/12,Hungary,Annual rate of change,All-items HICP,6.8,d
2001/12,Malta,Annual rate of change,All-items HICP,3.6,
2001/12,Netherlands,Annual rate of change,All-items HICP,5.1,
2001/12,Austria,Annual rate of change,All-items HICP,1.8,
2001/12,Poland,Annual rate of change,All-items HICP,3.5,
2001/12,Portugal,Annual rate of change,All-items HICP,3.9,
2001/12,Romania,Annual rate of change,All-items HICP,30.3,
2001/12,Slovenia,Annual rate of change,All-items HICP,7.1,
2001/12,Slovakia,Annual rate of change,All-items HICP,6.7,
2001/12,Finland,Annual rate of change,All-items HICP,2.3,
2001/12,Sweden,Annual rate of change,All-items HICP,3.2,
2001/12,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.9,
2001/12,Iceland,Annual rate of change,All-items HICP,9.1,
2001/12,Norway,Annual rate of change,All-items HICP,1.5,
2001/12,Switzerland,Annual rate of change,All-items HICP,:,
2001/12,United Kingdom,Annual rate of change,All-items HICP,1.1,
2001/12,North Macedonia,Annual rate of change,All-items HICP,:,
2001/12,Serbia,Annual rate of change,All-items HICP,:,
2001/12,Turkey,Annual rate of change,All-items HICP,74.6,d
2001/12,United States,Annual rate of change,All-items HICP,:,
2002/01,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,2.4,
2002/01,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,3.4,
2002/01,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,3.2,
2002/01,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2.6,
2002/01,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.6,
2002/01,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.7,
2002/01,Belgium,Annual rate of change,All-items HICP,2.6,
2002/01,Bulgaria,Annual rate of change,All-items HICP,7,
2002/01,Czechia,Annual rate of change,All-items HICP,3.4,
2002/01,Denmark,Annual rate of change,All-items HICP,2.3,
2002/01,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,2,
2002/01,Estonia,Annual rate of change,All-items HICP,4.3,
2002/01,Ireland,Annual rate of change,All-items HICP,5.3,
2002/01,Greece,Annual rate of change,All-items HICP,4.8,
2002/01,Spain,Annual rate of change,All-items HICP,3.1,
2002/01,France,Annual rate of change,All-items HICP,2.4,
2002/01,Croatia,Annual rate of change,All-items HICP,3.3,
2002/01,Italy,Annual rate of change,All-items HICP,2.3,
2002/01,Cyprus,Annual rate of change,All-items HICP,2.2,
2002/01,Latvia,Annual rate of change,All-items HICP,3.5,
2002/01,Lithuania,Annual rate of change,All-items HICP,3.2,
2002/01,Luxembourg,Annual rate of change,All-items HICP,2.2,
2002/01,Hungary,Annual rate of change,All-items HICP,6.6,
2002/01,Malta,Annual rate of change,All-items HICP,4.2,
2002/01,Netherlands,Annual rate of change,All-items HICP,4.9,
2002/01,Austria,Annual rate of change,All-items HICP,1.9,
2002/01,Poland,Annual rate of change,All-items HICP,3.6,
2002/01,Portugal,Annual rate of change,All-items HICP,3.7,
2002/01,Romania,Annual rate of change,All-items HICP,28.6,
2002/01,Slovenia,Annual rate of change,All-items HICP,8.4,
2002/01,Slovakia,Annual rate of change,All-items HICP,6.5,
2002/01,Finland,Annual rate of change,All-items HICP,2.9,
2002/01,Sweden,Annual rate of change,All-items HICP,2.9,
2002/01,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,2.4,
2002/01,Iceland,Annual rate of change,All-items HICP,9.9,
2002/01,Norway,Annual rate of change,All-items HICP,0.9,
2002/01,Switzerland,Annual rate of change,All-items HICP,:,
2002/01,United Kingdom,Annual rate of change,All-items HICP,1.6,
2002/01,North Macedonia,Annual rate of change,All-items HICP,:,
2002/01,Serbia,Annual rate of change,All-items HICP,:,
2002/01,Turkey,Annual rate of change,All-items HICP,80.5,d
2002/01,United States,Annual rate of change,All-items HICP,:,
2002/02,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,2.3,
2002/02,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,3.3,
2002/02,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,3,
2002/02,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2.5,
2002/02,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.5,
2002/02,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.5,
2002/02,Belgium,Annual rate of change,All-items HICP,2.5,
2002/02,Bulgaria,Annual rate of change,All-items HICP,8.4,
2002/02,Czechia,Annual rate of change,All-items HICP,3.4,
2002/02,Denmark,Annual rate of change,All-items HICP,2.4,
2002/02,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.8,
2002/02,Estonia,Annual rate of change,All-items HICP,4.5,
2002/02,Ireland,Annual rate of change,All-items HICP,5,
2002/02,Greece,Annual rate of change,All-items HICP,3.8,
2002/02,Spain,Annual rate of change,All-items HICP,3.2,
2002/02,France,Annual rate of change,All-items HICP,2.2,
2002/02,Croatia,Annual rate of change,All-items HICP,2.8,
2002/02,Italy,Annual rate of change,All-items HICP,2.5,
2002/02,Cyprus,Annual rate of change,All-items HICP,2.3,
2002/02,Latvia,Annual rate of change,All-items HICP,3.3,
2002/02,Lithuania,Annual rate of change,All-items HICP,2.8,
2002/02,Luxembourg,Annual rate of change,All-items HICP,2.2,
2002/02,Hungary,Annual rate of change,All-items HICP,6.2,
2002/02,Malta,Annual rate of change,All-items HICP,3.3,
2002/02,Netherlands,Annual rate of change,All-items HICP,4.5,
2002/02,Austria,Annual rate of change,All-items HICP,1.7,
2002/02,Poland,Annual rate of change,All-items HICP,3.7,
2002/02,Portugal,Annual rate of change,All-items HICP,3.3,
2002/02,Romania,Annual rate of change,All-items HICP,27.2,
2002/02,Slovenia,Annual rate of change,All-items HICP,8,
2002/02,Slovakia,Annual rate of change,All-items HICP,4.4,
2002/02,Finland,Annual rate of change,All-items HICP,2.5,
2002/02,Sweden,Annual rate of change,All-items HICP,2.8,
2002/02,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,2.3,
2002/02,Iceland,Annual rate of change,All-items HICP,9.4,
2002/02,Norway,Annual rate of change,All-items HICP,0.4,
2002/02,Switzerland,Annual rate of change,All-items HICP,:,
2002/02,United Kingdom,Annual rate of change,All-items HICP,1.5,
2002/02,North Macedonia,Annual rate of change,All-items HICP,:,
2002/02,Serbia,Annual rate of change,All-items HICP,:,
2002/02,Turkey,Annual rate of change,All-items HICP,80.4,d
2002/02,United States,Annual rate of change,All-items HICP,:,
2002/03,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,2.4,
2002/03,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,3.2,
2002/03,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,3,
2002/03,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2.5,
2002/03,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.5,
2002/03,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.5,
2002/03,Belgium,Annual rate of change,All-items HICP,2.5,
2002/03,Bulgaria,Annual rate of change,All-items HICP,9.1,
2002/03,Czechia,Annual rate of change,All-items HICP,3.3,
2002/03,Denmark,Annual rate of change,All-items HICP,2.5,
2002/03,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.9,
2002/03,Estonia,Annual rate of change,All-items HICP,4.4,
2002/03,Ireland,Annual rate of change,All-items HICP,5.1,
2002/03,Greece,Annual rate of change,All-items HICP,4.3,
2002/03,Spain,Annual rate of change,All-items HICP,3.2,
2002/03,France,Annual rate of change,All-items HICP,2.2,
2002/03,Croatia,Annual rate of change,All-items HICP,3.3,
2002/03,Italy,Annual rate of change,All-items HICP,2.5,
2002/03,Cyprus,Annual rate of change,All-items HICP,2,
2002/03,Latvia,Annual rate of change,All-items HICP,3.2,
2002/03,Lithuania,Annual rate of change,All-items HICP,1.7,
2002/03,Luxembourg,Annual rate of change,All-items HICP,1.7,
2002/03,Hungary,Annual rate of change,All-items HICP,6,
2002/03,Malta,Annual rate of change,All-items HICP,3.1,
2002/03,Netherlands,Annual rate of change,All-items HICP,4.4,
2002/03,Austria,Annual rate of change,All-items HICP,1.7,
2002/03,Poland,Annual rate of change,All-items HICP,3.4,
2002/03,Portugal,Annual rate of change,All-items HICP,3.4,
2002/03,Romania,Annual rate of change,All-items HICP,25.1,
2002/03,Slovenia,Annual rate of change,All-items HICP,7.6,
2002/03,Slovakia,Annual rate of change,All-items HICP,3.8,
2002/03,Finland,Annual rate of change,All-items HICP,2.6,
2002/03,Sweden,Annual rate of change,All-items HICP,2.9,
2002/03,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,2.3,
2002/03,Iceland,Annual rate of change,All-items HICP,9.1,
2002/03,Norway,Annual rate of change,All-items HICP,0.5,
2002/03,Switzerland,Annual rate of change,All-items HICP,:,
2002/03,United Kingdom,Annual rate of change,All-items HICP,1.5,
2002/03,North Macedonia,Annual rate of change,All-items HICP,:,
2002/03,Serbia,Annual rate of change,All-items HICP,:,
2002/03,Turkey,Annual rate of change,All-items HICP,70.3,d
2002/03,United States,Annual rate of change,All-items HICP,:,
2002/04,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,2.2,
2002/04,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,3,
2002/04,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,2.8,
2002/04,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2.4,
2002/04,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.4,
2002/04,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.4,
2002/04,Belgium,Annual rate of change,All-items HICP,1.7,
2002/04,Bulgaria,Annual rate of change,All-items HICP,9.2,
2002/04,Czechia,Annual rate of change,All-items HICP,2.9,
2002/04,Denmark,Annual rate of change,All-items HICP,2.4,
2002/04,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.5,
2002/04,Estonia,Annual rate of change,All-items HICP,4.5,
2002/04,Ireland,Annual rate of change,All-items HICP,5.2,
2002/04,Greece,Annual rate of change,All-items HICP,4.1,
2002/04,Spain,Annual rate of change,All-items HICP,3.7,
2002/04,France,Annual rate of change,All-items HICP,2.1,
2002/04,Croatia,Annual rate of change,All-items HICP,2.1,
2002/04,Italy,Annual rate of change,All-items HICP,2.5,
2002/04,Cyprus,Annual rate of change,All-items HICP,2.3,
2002/04,Latvia,Annual rate of change,All-items HICP,2.9,
2002/04,Lithuania,Annual rate of change,All-items HICP,1.4,
2002/04,Luxembourg,Annual rate of change,All-items HICP,1.9,
2002/04,Hungary,Annual rate of change,All-items HICP,6,
2002/04,Malta,Annual rate of change,All-items HICP,2.7,
2002/04,Netherlands,Annual rate of change,All-items HICP,4.2,
2002/04,Austria,Annual rate of change,All-items HICP,1.7,
2002/04,Poland,Annual rate of change,All-items HICP,3,
2002/04,Portugal,Annual rate of change,All-items HICP,3.6,
2002/04,Romania,Annual rate of change,All-items HICP,24.4,
2002/04,Slovenia,Annual rate of change,All-items HICP,8.4,
2002/04,Slovakia,Annual rate of change,All-items HICP,3.7,
2002/04,Finland,Annual rate of change,All-items HICP,2.5,
2002/04,Sweden,Annual rate of change,All-items HICP,2.3,
2002/04,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,2.2,
2002/04,Iceland,Annual rate of change,All-items HICP,7.8,
2002/04,Norway,Annual rate of change,All-items HICP,-0.1,
2002/04,Switzerland,Annual rate of change,All-items HICP,:,
2002/04,United Kingdom,Annual rate of change,All-items HICP,1.4,
2002/04,North Macedonia,Annual rate of change,All-items HICP,:,
2002/04,Serbia,Annual rate of change,All-items HICP,:,
2002/04,Turkey,Annual rate of change,All-items HICP,55.5,d
2002/04,United States,Annual rate of change,All-items HICP,:,
2002/05,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.8,
2002/05,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,2.6,
2002/05,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,2.4,
2002/05,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2.1,
2002/05,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2.1,
2002/05,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2.1,
2002/05,Belgium,Annual rate of change,All-items HICP,1.3,
2002/05,Bulgaria,Annual rate of change,All-items HICP,6.9,
2002/05,Czechia,Annual rate of change,All-items HICP,2.1,
2002/05,Denmark,Annual rate of change,All-items HICP,2,
2002/05,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.1,
2002/05,Estonia,Annual rate of change,All-items HICP,4.1,
2002/05,Ireland,Annual rate of change,All-items HICP,5,
2002/05,Greece,Annual rate of change,All-items HICP,3.8,
2002/05,Spain,Annual rate of change,All-items HICP,3.7,
2002/05,France,Annual rate of change,All-items HICP,1.6,
2002/05,Croatia,Annual rate of change,All-items HICP,1.9,
2002/05,Italy,Annual rate of change,All-items HICP,2.5,
2002/05,Cyprus,Annual rate of change,All-items HICP,2.3,
2002/05,Latvia,Annual rate of change,All-items HICP,2.1,
2002/05,Lithuania,Annual rate of change,All-items HICP,0.5,
2002/05,Luxembourg,Annual rate of change,All-items HICP,1.3,
2002/05,Hungary,Annual rate of change,All-items HICP,5.6,
2002/05,Malta,Annual rate of change,All-items HICP,2.4,
2002/05,Netherlands,Annual rate of change,All-items HICP,3.8,
2002/05,Austria,Annual rate of change,All-items HICP,1.6,
2002/05,Poland,Annual rate of change,All-items HICP,1.5,
2002/05,Portugal,Annual rate of change,All-items HICP,3.4,
2002/05,Romania,Annual rate of change,All-items HICP,24.5,
2002/05,Slovenia,Annual rate of change,All-items HICP,7.6,
2002/05,Slovakia,Annual rate of change,All-items HICP,3.3,
2002/05,Finland,Annual rate of change,All-items HICP,1.8,
2002/05,Sweden,Annual rate of change,All-items HICP,1.6,
2002/05,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.8,
2002/05,Iceland,Annual rate of change,All-items HICP,6.1,
2002/05,Norway,Annual rate of change,All-items HICP,-0.4,
2002/05,Switzerland,Annual rate of change,All-items HICP,:,
2002/05,United Kingdom,Annual rate of change,All-items HICP,0.8,
2002/05,North Macedonia,Annual rate of change,All-items HICP,:,
2002/05,Serbia,Annual rate of change,All-items HICP,:,
2002/05,Turkey,Annual rate of change,All-items HICP,48.1,d
2002/05,United States,Annual rate of change,All-items HICP,:,
2002/06,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.7,
2002/06,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,2.4,
2002/06,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,2.1,
2002/06,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,1.9,
2002/06,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,1.9,
2002/06,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,1.9,
2002/06,Belgium,Annual rate of change,All-items HICP,0.8,
2002/06,Bulgaria,Annual rate of change,All-items HICP,5.2,
2002/06,Czechia,Annual rate of change,All-items HICP,0.9,
2002/06,Denmark,Annual rate of change,All-items HICP,2.1,
2002/06,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,0.9,
2002/06,Estonia,Annual rate of change,All-items HICP,3.8,
2002/06,Ireland,Annual rate of change,All-items HICP,4.5,
2002/06,Greece,Annual rate of change,All-items HICP,3.6,
2002/06,Spain,Annual rate of change,All-items HICP,3.4,
2002/06,France,Annual rate of change,All-items HICP,1.4,
2002/06,Croatia,Annual rate of change,All-items HICP,2,
2002/06,Italy,Annual rate of change,All-items HICP,2.4,
2002/06,Cyprus,Annual rate of change,All-items HICP,2.1,
2002/06,Latvia,Annual rate of change,All-items HICP,1,
2002/06,Lithuania,Annual rate of change,All-items HICP,-0.4,
2002/06,Luxembourg,Annual rate of change,All-items HICP,1.2,
2002/06,Hungary,Annual rate of change,All-items HICP,4.8,
2002/06,Malta,Annual rate of change,All-items HICP,2.2,
2002/06,Netherlands,Annual rate of change,All-items HICP,3.8,
2002/06,Austria,Annual rate of change,All-items HICP,1.5,
2002/06,Poland,Annual rate of change,All-items HICP,1.2,
2002/06,Portugal,Annual rate of change,All-items HICP,3.5,
2002/06,Romania,Annual rate of change,All-items HICP,24,
2002/06,Slovenia,Annual rate of change,All-items HICP,6.9,
2002/06,Slovakia,Annual rate of change,All-items HICP,2.8,
2002/06,Finland,Annual rate of change,All-items HICP,1.5,
2002/06,Sweden,Annual rate of change,All-items HICP,1.7,
2002/06,"European Economic Area (EEA18-1995, EEA28-2004, EEA30-2007, EEA31-2013, EEA30-2020)",Annual rate of change,All-items HICP,1.6,
2002/06,Iceland,Annual rate of change,All-items HICP,4.7,
2002/06,Norway,Annual rate of change,All-items HICP,-0.4,
2002/06,Switzerland,Annual rate of change,All-items HICP,:,
2002/06,United Kingdom,Annual rate of change,All-items HICP,0.6,
2002/06,North Macedonia,Annual rate of change,All-items HICP,:,
2002/06,Serbia,Annual rate of change,All-items HICP,:,
2002/06,Turkey,Annual rate of change,All-items HICP,43.8,d
2002/06,United States,Annual rate of change,All-items HICP,:,
2002/07,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",Annual rate of change,All-items HICP,1.8,
2002/07,European Union - 27 countries (from 2020),Annual rate of change,All-items HICP,2.5,
2002/07,European Union - 28 countries (2013-2020),Annual rate of change,All-items HICP,2.3,
2002/07,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)",Annual rate of change,All-items HICP,2,
2002/07,Euro area - 19 countries  (from 2015),Annual rate of change,All-items HICP,2,
2002/07,Euro area - 18 countries (2014),Annual rate of change,All-items HICP,2,
2002/07,Belgium,Annual rate of change,All-items HICP,1.2,
2002/07,Bulgaria,Annual rate of change,All-items HICP,5.5,
2002/07,Czechia,Annual rate of change,All-items HICP,0.3,
2002/07,Denmark,Annual rate of change,All-items HICP,2.1,
2002/07,Germany (until 1990 former territory of the FRG),Annual rate of change,All-items HICP,1.1,
2002/07,Estonia,Annual rate of change,All-items HICP,3.3,
2002/07,Ireland,Annual rate of change,All-items HICP,4.1,
2002/07,Greece,Annual rate of change,All-items HICP,3.6,
2002/07,Spain,Annual rate of change,All-items HICP,3.5,
2002/07,France,Annual rate of change,All-items HICP,1.6,
2002/07,Croatia,Annual rate of change,All-items HICP,2.7,
